Date,Time,Channel,BPM,Tower,Antenna,Power,L_ID,T_Lat,T_Long,T_N,T_E,EstAzimuth
4/21/2019,17:45:15,87,35.9,T1_02,2,88,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:45:16,87,35.9,T1_02,2,89,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:45:18,87,35.9,T1_02,2,89,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:45:21,87,35.9,T1_02,3,76,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:45:23,87,35.9,T1_02,3,74,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:45:25,87,35.9,T1_02,3,74,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:45:28,87,35.9,T1_02,4,68,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,17:45:30,87,35.9,T1_02,4,68,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,17:45:33,87,35.9,T1_02,1,85,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,17:45:35,87,35.9,T1_02,1,84,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,17:45:36,87,35.9,T1_02,1,83,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,17:45:40,87,35.9,T1_02,2,90,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:45:41,87,35.9,T1_02,2,84,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:45:45,87,35.9,T1_02,3,72,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:45:46,87,35.9,T1_02,3,72,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:45:48,87,35.9,T1_02,3,73,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:45:51,87,35.9,T1_02,4,68,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,17:45:53,87,35.8,T1_02,4,68,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,17:45:58,87,35.8,T1_02,1,74,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,17:46:00,87,35.8,T1_02,1,72,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,17:46:03,87,35.8,T1_02,2,88,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:46:05,87,35.8,T1_02,2,89,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:46:06,87,35.8,T1_02,2,88,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:46:10,87,35.9,T1_02,3,69,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:46:11,87,35.9,T1_02,3,69,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:46:15,87,35.8,T1_02,4,62,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,17:46:16,87,35.8,T1_02,4,61,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,17:46:18,87,35.8,T1_02,4,62,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,17:46:21,87,35.8,T1_02,1,66,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,17:46:23,87,35.9,T1_02,1,66,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,17:46:26,87,35.8,T1_02,2,82,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:46:28,87,35.9,T1_02,2,84,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:46:30,87,35.8,T1_02,2,82,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:46:33,87,35.8,T1_02,3,65,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:46:35,87,35.8,T1_02,3,63,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:46:37,87,35.8,T1_02,3,62,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:46:40,87,35.8,T1_02,4,54,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,17:46:42,87,35.9,T1_02,4,56,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,17:46:45,87,35.8,T1_02,1,57,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,17:46:47,87,35.8,T1_02,1,59,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,17:46:48,87,35.8,T1_02,1,61,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,17:46:52,87,35.8,T1_02,2,82,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:46:53,87,35.8,T1_02,2,81,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:46:57,87,35.8,T1_02,3,58,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:46:58,87,35.8,T1_02,3,59,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:47:00,87,35.8,T1_02,3,60,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:47:15,87,35.8,T1_02,2,72,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:47:17,87,35.8,T1_02,2,79,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:47:18,87,35.8,T1_02,2,77,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:47:22,87,35.9,T1_02,3,56,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:47:23,87,35.8,T1_02,3,55,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:47:39,87,35.8,T1_02,2,77,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:47:40,87,35.8,T1_02,2,78,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:47:42,87,35.8,T1_02,2,79,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:48:04,87,35.8,T1_02,2,74,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:48:05,87,35.8,T1_02,2,67,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:48:27,87,35.8,T1_02,2,63,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:48:29,87,35.8,T1_02,2,65,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
